source,target,evidenceClass,note,reason,relation,source_system
commit:absorbed-upstream,commit:deployed,,,,ABSORBED_BY,
commit:settled-finalizer,defect:finalization-context-reason,textual-archaeology,,,INTRODUCES,
commit:turn-adoption,defect:silas-abandonment-budget,textual-archaeology,,,INTRODUCES,
commit:session-fence,defect:silas-rejection-reason,textual-archaeology,,,INTRODUCES,
commit:route-materialization,defect:elliott-materialization-reason,textual-archaeology,,,INTRODUCES,
commit:ingress-recovery,incident:silas-loop,,Deployed fix prevents stranded claim loss but does not bound abandonment.,,PRESERVES_RETRY_HANDOFF,
commit:shared-wal,incident:sqlite-pressure,,Current-upstream-only fix owns shared state WAL; observed holds use agent DB.,,DOES_NOT_REACH,
receipt:cael-trace,incident:no-visible-payload,,,,EVIDENCES,
receipt:cael-trace,incident:sqlite-pressure,,,,EVIDENCES,
receipt:ronan-trace,incident:no-visible-payload,,,,EVIDENCES,
receipt:ronan-trace,incident:sqlite-pressure,,,,EVIDENCES,
receipt:emeric-trace,incident:no-visible-payload,,,,EVIDENCES,
receipt:emeric-trace,incident:sqlite-pressure,,,,EVIDENCES,
receipt:silas-cadence,incident:silas-loop,,,,EVIDENCES,
code:capture-finalization-context,code:build-finalization-context,,,,CALLS,
code:capture-finalization-context,code:load-transcript-events,,,,CALLS,
code:build-finalization-context,defect:finalization-context-reason,,,,COLLAPSES_FAILURE_REASONS,
code:finalize-codex-attempt,code:capture-finalization-context,,,,CALLS,
code:prepare-terminal-finalization,code:zero-payload-warning,observed-and-source-localized,,,SAME_TRACE_PRECEDES,
code:load-transcript-events,defect:sqlite-hot-read,,,,HOLDS_SYNC_TRANSACTION,
code:ingress-complete,defect:rune-completion-reason,,,,ERASES_DISCRIMINATOR,
code:monitor-default-completion,code:ingress-complete,,,,CALLS,
code:admit-reply-turn,defect:silas-rejection-reason,,,,COLLAPSES_FAILURE_REASONS,
code:admit-reply-turn,code:complete-followup-lifecycle,,,,RETURNS_UNADOPTED_TO,
code:complete-followup-lifecycle,code:abandon-ingress,,,,CALLS,
code:abandon-ingress,code:retry-disposition,,,,BYPASSES,
code:abandon-ingress,defect:silas-abandonment-budget,,,,INTRODUCES_RETRY_POLICY_BYPASS,
code:materialize-route,defect:elliott-materialization-reason,,,,COLLAPSES_FAILURE_REASONS,
defect:finalization-context-reason,incident:no-visible-payload,,The outer failure chain is observed; the inner rejection reason remains unknown.,,CHARACTERIZES,
defect:rune-completion-reason,incident:rune-silent-loss,,,,CHARACTERIZES,
defect:sqlite-hot-read,incident:sqlite-pressure,,,,EVIDENCES,
defect:silas-abandonment-budget,incident:silas-loop,source-plus-observed-capped-cadence,,,EVIDENCES,
defect:elliott-materialization-reason,incident:elliott-route,,,,CHARACTERIZES,
issue:fork-1254,incident:no-visible-payload,,,,TRACKS,
issue:fork-1254,incident:rune-silent-loss,,,,TRACKS,
issue:fork-1254,incident:sqlite-pressure,,,,TRACKS,
issue:fork-1254,incident:silas-loop,,,,TRACKS,
issue:fork-1254,incident:elliott-route,,,,TRACKS,
issue:upstream-118873,defect:silas-rejection-reason,,,,TRACKS,
issue:upstream-119884,defect:sqlite-hot-read,,,,TRACKS,
issue:upstream-122076,defect:finalization-context-reason,,Fleet traces contain zero yield markers.,,CONDITIONALLY_OVERLAPS,
issue:upstream-114603,defect:elliott-materialization-reason,,,,CONDITIONALLY_OVERLAPS,
probe:finalization-reason,defect:finalization-context-reason,,,,PROPOSED_PROBE_FOR,
probe:rune-outcome,defect:rune-completion-reason,,,,PROPOSED_PROBE_FOR,
probe:sqlite-copy,defect:sqlite-hot-read,,,,PROPOSED_PROBE_FOR,
fossil:silas-eight-abandons,defect:silas-abandonment-budget,,,,PROPOSED_FOSSIL_FOR,
probe:elliott-route,defect:elliott-materialization-reason,,,,PROPOSED_PROBE_FOR,
intervention:finalization-result,probe:finalization-reason,,,,CANDIDATE_INTERVENTION,
intervention:rune-metadata,probe:rune-outcome,,,,CANDIDATE_INTERVENTION,
intervention:offline-analyze,probe:sqlite-copy,,,,CANDIDATE_INTERVENTION,
intervention:abandonment-budget,fossil:silas-eight-abandons,,,,CANDIDATE_INTERVENTION,
intervention:route-result,probe:elliott-route,,,,CANDIDATE_INTERVENTION,
Function:src/channels/message/ingress-drain.ts:drainOnce,Function:src/channels/message/ingress-drain.ts:runClaimed,,,local-call,CALLS,gitnexus
Function:src/channels/message/ingress-drain.ts:runClaimed,Function:src/channels/message/ingress-drain.ts:createLifecycle,,,local-call,CALLS,gitnexus
Function:src/channels/message/ingress-drain.ts:runClaimed,Function:src/channels/message/ingress-drain.ts:completeClaimWithRetry,,,local-call,CALLS,gitnexus
Function:src/channels/message/ingress-drain.ts:completeClaimWithRetry,Function:src/channels/message/ingress-drain.ts:commitClaimWriteWithRetry,,,local-call,CALLS,gitnexus
Function:src/channels/message/ingress-drain.ts:onAdopted,Function:src/channels/message/ingress-drain.ts:completeClaimWithRetry,,,local-call,CALLS,gitnexus
Function:src/channels/message/ingress-drain.ts:onAbandoned,Function:src/channels/message/ingress-drain.ts:releaseClaim,,,local-call,CALLS,gitnexus
Function:src/channels/message/ingress-drain.ts:releaseClaim,Function:src/channels/message/ingress-drain.ts:commitClaimWriteWithRetry,,,local-call,CALLS,gitnexus
Function:src/channels/message/ingress-drain.ts:commitClaimWriteWithRetry,Function:src/channels/message/ingress-retry-policy.ts:sleepIngressRetryDelay,,,import-resolved,CALLS,gitnexus
