class	dropped_lines	file	detail
MIXED-CLOBBER	2	.crabbox.yaml	95c8fc9678 ci: support native Windows Crabbox daemon hydra
GENUINE	0	.gitignore	-
MIXED-CLOBBER	2	.oxlintrc.json	4f4d108639 chore(lint): remove underscore-dangle allow lis
MIXED-CLOBBER	1	AGENTS.md	df659d124d refactor(telegram): encode conversation binding
GENUINE	0	apps/shared/OpenClawKit/Sources/OpenClawKit/Resources/tool-display.json	-
SAFE-CURRENT	0	apps/shared/OpenClawKit/Sources/OpenClawProtocol/GatewayModels.swift	-
SAFE-CURRENT	0	docs/automation/cron-jobs.md	-
SAFE-NEW	0	docs/design/continue-work-signal-v2.md	-
MIXED-CLOBBER	6	docs/plugins/codex-harness-reference.md	80227005a0 feat(exec): add normalized auto mode
MIXED-CLOBBER	6	docs/plugins/codex-harness-runtime.md	0cfccdb0c7 fix(codex): keep WebChat delivery hints out of 
SAFE-CURRENT	0	extensions/browser/src/browser/routes/existing-session.test-support.ts	-
MIXED-CLOBBER	2	extensions/codex/src/app-server/attempt-startup.test.ts	7f7eca1ad2 fix(codex): preserve shared app-server after st
GENUINE	0	extensions/codex/src/app-server/attempt-startup.ts	-
MIXED-CLOBBER	7	extensions/codex/src/app-server/event-projector.test.ts	f36a1b0c81 fix(codex): preserve streamed command output (#
MIXED-CLOBBER	8	extensions/codex/src/app-server/run-attempt.ts	80227005a0 feat(exec): add normalized auto mode
GENUINE	0	extensions/diagnostics-otel/api.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.ts	-
MIXED-CLOBBER	8	extensions/diagnostics-otel/src/service.test.ts	f824e1596a Add OpenTelemetry LLM content spans (#86191)
MIXED-CLOBBER	5	extensions/diagnostics-otel/src/service.ts	ef8619d5f5 fix(diagnostics): expose missing telemetry sign
SAFE-CURRENT	0	extensions/discord/src/monitor/native-command.ts	-
MIXED-CLOBBER	2	extensions/discord/src/voice/manager.e2e.test.ts	acbb06e266 test: harden e2e harness isolation
GENUINE	0	extensions/matrix/src/matrix/sdk.test.ts	-
GENUINE	0	extensions/matrix/src/matrix/sdk.ts	-
MIXED-CLOBBER	14	extensions/memory-core/src/dreaming.ts	145b57c734 perf(gateway): defer skipped-channel sidecars
MIXED-CLOBBER	1	extensions/qa-matrix/src/runners/contract/scenario-catalog.ts	c3308b9195 test: keep matrix subagent spawn opt-in
GENUINE	0	extensions/qa-matrix/src/runners/contract/scenarios.test.ts	-
MIXED-CLOBBER	3	extensions/telegram/src/bot-handlers.runtime.ts	f6d293a1ee fix(telegram): reject unsafe callback pages
MIXED-CLOBBER	11	extensions/telegram/src/bot-native-commands.ts	9119492f15 fix: preserve plugin LLM command auth (#85936)
GENUINE	0	extensions/zalo/src/outbound-media.ts	-
GENUINE	0	npm-shrinkwrap.json	-
MIXED-CLOBBER	12	package.json	99b24a80fb build(plugins): externalize copilot runtime
SAFE-NEW	0	packages/gateway-protocol/src/schema/agent.schema.test.ts	-
MIXED-CLOBBER	9	packages/gateway-protocol/src/schema/agent.ts	b1117d9862 refactor: extract gateway client package (#8779
MIXED-CLOBBER	5	pnpm-lock.yaml	86ed25af34 feat: add workboard dashboard plugin
MIXED-CLOBBER	2	scripts/e2e/telegram-user-crabbox-proof.ts	4b40197eae fix(e2e): bound Telegram proof Bot API calls
MIXED-CLOBBER	1	scripts/lib/plugin-sdk-doc-metadata.ts	9a5f2f61e7 Doctor: add health-check contract and --lint va
MIXED-CLOBBER	2	scripts/protocol-gen-swift.ts	?
MIXED-CLOBBER	1	scripts/protocol-gen.ts	?
SAFE-NEW	0	scripts/protocol-public-schema.ts	-
MIXED-CLOBBER	11	scripts/release-check.ts	780bc79147 fix(plugin-sdk): stop exporting vitest test hel
MIXED-CLOBBER	2	scripts/test-projects.test-support.mjs	?
MIXED-CLOBBER	90	src/agents/agent-command.live-model-switch.test.ts	960117259d fix(agents): preserve rotated compaction sessio
SAFE-NEW	0	src/agents/agent-command.test.ts	-
MIXED-CLOBBER	79	src/agents/agent-command.ts	3b9fa16862 perf(gateway): borrow agent session lookup safe
MIXED-CLOBBER	2	src/agents/agent-hooks/compaction-safeguard.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
GENUINE	0	src/agents/agent-tools-agent-config.test.ts	-
MIXED-CLOBBER	8	src/agents/agent-tools.before-tool-call.e2e.test.ts	2e015ab124 test(release): fix beta live release checks
MIXED-CLOBBER	5	src/agents/agent-tools.before-tool-call.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
GENUINE	0	src/agents/agent-tools.policy.ts	-
MIXED-CLOBBER	32	src/agents/agent-tools.read.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	37	src/agents/agent-tools.ts	adca9a7523 fix(exec): layer session exec overrides
MIXED-CLOBBER	4	src/agents/agent-tools.workspace-paths.test.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
GENUINE	0	src/agents/apply-patch.test.ts	-
GENUINE	0	src/agents/auth-profile-runtime-contract.test.ts	-
GENUINE	0	src/agents/cli-runner/helpers.ts	-
MIXED-CLOBBER	13	src/agents/cli-runner/prepare.test.ts	de455304cc fix(command): stabilize claude-cli transcript r
MIXED-CLOBBER	4	src/agents/cli-runner/prepare.ts	d9278c8efd refactor: organize skills subsystem layout
MIXED-CLOBBER	14	src/agents/command/attempt-execution.cli.test.ts	de455304cc fix(command): stabilize claude-cli transcript r
SAFE-CURRENT	0	src/agents/command/attempt-execution.helpers.ts	-
MIXED-CLOBBER	19	src/agents/command/attempt-execution.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	19	src/agents/command/session-store.ts	960117259d fix(agents): preserve rotated compaction sessio
MIXED-CLOBBER	2	src/agents/command/types.ts	8fa4fad3a7 perf(gateway): skip duplicate turn session touc
SAFE-NEW	0	src/agents/compaction-attribution.test.ts	-
SAFE-NEW	0	src/agents/compaction-attribution.ts	-
MIXED-CLOBBER	1	src/agents/embedded-agent-runner.e2e.test.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
GENUINE	0	src/agents/embedded-agent-runner/compact-reasons.test.ts	-
MIXED-CLOBBER	1	src/agents/embedded-agent-runner/compact-reasons.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	3	src/agents/embedded-agent-runner/compact.hooks.harness.ts	47c578034a fix(exec): align release validation surfaces
MIXED-CLOBBER	2	src/agents/embedded-agent-runner/compact.queued.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	17	src/agents/embedded-agent-runner/compact.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	4	src/agents/embedded-agent-runner/compact.types.ts	80227005a0 feat(exec): add normalized auto mode
MIXED-CLOBBER	21	src/agents/embedded-agent-runner/compaction-runtime-context.test.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	4	src/agents/embedded-agent-runner/context-engine-capabilities.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	1	src/agents/embedded-agent-runner/context-engine-maintenance.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	10	src/agents/embedded-agent-runner/model.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
GENUINE	0	src/agents/embedded-agent-runner/run-state.ts	-
MIXED-CLOBBER	2	src/agents/embedded-agent-runner/run.overflow-compaction.harness.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
GENUINE	0	src/agents/embedded-agent-runner/run.overflow-compaction.loop.test.ts	-
MIXED-CLOBBER	27	src/agents/embedded-agent-runner/run.timeout-triggered-compaction.test.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	1	src/agents/embedded-agent-runner/run.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
GENUINE	0	src/agents/embedded-agent-runner/run/assistant-failover.test.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/assistant-failover.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/attempt-tool-construction-plan.test.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/attempt-tool-construction-plan.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/attempt.prompt-helpers.ts	-
MIXED-CLOBBER	94	src/agents/embedded-agent-runner/run/attempt.session-lock.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	29	src/agents/embedded-agent-runner/run/attempt.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
GENUINE	0	src/agents/embedded-agent-runner/run/failover-policy.test.ts	-
MIXED-CLOBBER	1	src/agents/embedded-agent-runner/run/failover-policy.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	1	src/agents/embedded-agent-runner/run/params.ts	355fb4d860 refactor: use direct skills imports
MIXED-CLOBBER	32	src/agents/embedded-agent-runner/runs.test.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	12	src/agents/embedded-agent-runner/runs.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
GENUINE	0	src/agents/embedded-agent-runner/system-prompt.ts	-
MIXED-CLOBBER	1	src/agents/embedded-agent-subscribe.handlers.compaction.runtime.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	1	src/agents/embedded-agent-subscribe.handlers.compaction.test.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	6	src/agents/embedded-agent-subscribe.handlers.compaction.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	103	src/agents/embedded-agent-subscribe.handlers.tools.test.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	114	src/agents/embedded-agent-subscribe.handlers.tools.ts	bb46b79d3c refactor: internalize OpenClaw agent runtime (#
MIXED-CLOBBER	16	src/agents/model-fallback.ts	b4f69286fd fix(gateway): stop chat timeout fallback cascad
MIXED-CLOBBER	18	src/agents/model-selection.test.ts	2e3b4b58a1 test(agents): cover cold default model alias re
MIXED-CLOBBER	7	src/agents/openai-responses-payload-policy.test.ts	9119492f15 fix: preserve plugin LLM command auth (#85936)
MIXED-CLOBBER	9	src/agents/openai-responses-payload-policy.ts	?
GENUINE	0	src/agents/openai-transport-stream.ts	-
SAFE-NEW	0	src/agents/openclaw-tools.continuation-misconfig-warn.test.ts	-
SAFE-NEW	0	src/agents/openclaw-tools.continuation-registration.test.ts	-
GENUINE	0	src/agents/openclaw-tools.sessions-visibility.test.ts	-
MIXED-CLOBBER	1	src/agents/openclaw-tools.ts	?
SAFE-NEW	0	src/agents/pi-tools.append.test.ts	-
SAFE-NEW	0	src/agents/pi-tools.write.guard.test.ts	-
SAFE-NEW	0	src/agents/pi-tools.write.message-truthfulness.test.ts	-
MIXED-CLOBBER	9	src/agents/sandbox-media-paths.test.ts	42d6cf66d3 fix(media): require staged sandbox media refs
GENUINE	0	src/agents/sandbox/fs-bridge-mutation-helper.ts	-
MIXED-CLOBBER	1	src/agents/sandbox/fs-bridge.shell.test.ts	53ef9154b8 test: count sandbox bridge shell calls
GENUINE	0	src/agents/sandbox/fs-bridge.ts	-
GENUINE	0	src/agents/sandbox/fs-bridge.types.ts	-
SAFE-CURRENT	0	src/agents/sandbox/remote-fs-bridge.ts	-
MIXED-CLOBBER	32	src/agents/session-write-lock.test.ts	a1eb765f0a fix(session-lock): enforce maxHoldMs in shouldR
MIXED-CLOBBER	7	src/agents/session-write-lock.ts	a1eb765f0a fix(session-lock): enforce maxHoldMs in shouldR
