path	class	accepted_intent	current_upstream_intent	line_hunk_disposition	preservation	proof
config/assertion-safety-baseline.txt	integrated-contract-repair	Retain every accepted shrink-only assertion reduction and removal.	Retain current upstream replacements for Telegram monitor and plugin-hook counts, plus the Discord gateway and native-command-reply reductions exposed by the final merges.	Keep both upstream replacement rows and all accepted reductions, shrink embedded-agent-subscribe.ts from eight to five after the owner extraction removed three casts, shrink extensions/discord/src/internal/gateway.ts from nine to eight, and shrink extensions/discord/src/monitor/native-command-reply.ts from three to two; regenerated arithmetic is 4,277 files and 13,483 assertions.	full	check-changed assertion-safety ratchet passed with zero mismatches and no allowance growth
src/agents/embedded-agent-runner/run/attempt-client-tools.ts	semantic-conflict-union	Carry closed subscription trust for core/plugin media and replay-safe facts.	Add genuine core-read entitlement for bounded Code Mode reconciliation.	Keep upstream coreReadAuthorized derivation beside accepted trusted-media derivation and the closed subscriptionToolTrust bundle; do not restore the obsolete duplicated trust sets.	full	attempt-client-tools owner and final changed gate passed
src/agents/embedded-agent-subscribe.handlers.tools.completion.ts	integrated-contract-repair	Fence completion projection after awaited work by delivery generation.	Return whether implementation execution actually started.	Replace the impossible object-or-void contract with a closed stale/completed result; every generation rejection returns stale and only completed carries executionStarted.	full	tool handler, Code Mode, and final changed gates passed
src/agents/embedded-agent-subscribe.handlers.ts	semantic-conflict-union	Serialize attempt-scoped delivery behind the current generation.	Await detached tool completion and consume its execution-start fact.	Keep the callback async, pass deliveryGeneration to the completion owner, and consume only completed terminal facts.	full	handler/Code Mode owner tests and final changed gate passed
src/agents/embedded-agent-subscribe.ts	integrated-contract-repair	Own generation-safe delivery and repeated-compaction subscription state.	Record actual implementation start and authenticate trusted no-start errors.	Move the complete two-phase lifecycle to the existing handler owner; consume only completed terminal facts and fail closed on stale results, reducing the subscription owner below 700 lines and removing three casts.	full	tool handler, Code Mode, max-lines, assertion, and final changed gates passed
src/agents/subagents/registry/subagent-registry.lifecycle-retry-grace.e2e.test.ts	integrated-test-repair	Retain deterministic listener/runtime facade/SQLite fixture and fake-timer ordering.	Add visible child requesterTurnRunId and exactly-once yielded requester-final coverage.	Keep every accepted and upstream scenario; fold two redundant local request subtypes into the existing request shape to remain below the established 1,000-line ceiling without weakening an assertion.	full	agents lifecycle E2E passed 14/14 at exact candidate
src/auto-reply/reply/agent-runner-embedded-candidate.continuation.test.ts	integrated-test-repair	Exercise non-heartbeat continuation fallback selection.	Require an explicit run lane at the embedded candidate boundary.	Set runLane to main for the visible non-heartbeat turn under test; no production branch or assertion changes.	full	embedded fallback continuation owner passed 2/2 and final changed gate passed
src/infra/heartbeat-runner-scheduler.ts	semantic-conflict-union	Preserve continuation-targeted unscheduled wake classification.	Generalize disabled-cadence bypass to the unified targeted wake predicate.	Use the one isTargetedUnscheduledWake owner so continuation and configured exec-event wake shapes share policy without duplicate reason-priority logic.	full	heartbeat targeted/disabled-cadence owners and final changed gate passed
src/infra/heartbeat-wake.ts	semantic-conflict-union	Preserve trusted continuation routing, parentRunId, coalescing, retry, and queue lifecycle.	Queue and schedule outside owned transcript-write context while retaining completion diagnostics.	Read non-enumerable continuation trust before object spread, pass trustedContinuationRouting explicitly, and perform queue/schedule work outside the transcript-write owner; retain upstream diagnostics and all accepted retry/coalescing state.	full	heartbeat wake, transcript-context, targeted wake, returns-default-unset, and final changed gates passed
tmp-drop-me-claude.md	cure-metadata	Retain the accepted append-only continuation journal.	No upstream delta exists for the journal.	Append only authority, freeze, merge, gate, repair, and proof receipts; no executable product behavior is encoded here.	full	git history and append-only journal review
