id,commit,expectedResult,file,indexedAt,kind,label,layer,lines,note,observedAttempts,observedResult,owner,pr,seat,sha,status,timestamp,toolReportedCommit
governance:proof-only-lane,,,,,constraint,"Test/proof only; no production fix, no fleet mutation, no PR",governance,,,,,,,,,,,
governance:stale-gitnexus,,,,2026-08-08T14:08:45.829Z,evidence-gap,GitNexus index is not exact 6b09,governance,,"Graph shape confirmed the disposition asymmetry, but releaseUnadopted (introduced by 06600e2ca09) is absent from the index, so symbol-level lookups were re-verified against 6b09 source directly.",,,,,,,,,a59a96549b7736613cb86dc846b28d0d82f03295
governance:unrunnable-at-seam-birth,,,,,evidence-gap,Fossil cannot run unchanged at 16c14e5bbfc9,governance,,queue.listFailed and src/channels/message/ingress-drain.test-helpers.ts did not exist yet. Classified by source inspection instead of a behavioral run; no assertion was weakened to obtain a result.,,,,,,,,,
commit:deployed,,,,,composite,,commit,,,,,,,,6b09b1dbe938ab6b5f56eaf4e58f1ed243f89955,,,
commit:absorbed-upstream,,,,,upstream-base,,commit,,,,,,,,530b33e4e37264c89ecd5abdd06279dd23d5c867,,,
commit:current-upstream,,,,,upstream-context,,commit,,,,,,,,ab5b8b9a02c8b90c15b9c618b03cdf9a553d0cde,,,
commit:turn-adoption,,,,,introducing-commit,,commit,,,,,,openclaw/openclaw#108924,,16c14e5bbfc9e3a82203272ec7bb82b586df0a84,,2026-07-16,
commit:pre-discord-retry-fix,,,,,behavioral-baseline,,commit,,06600e2ca09^; oldest revision where the unchanged fossil still runs.,,,,,,ac110917e1356833f65e1536768cbfbe7c1938d0,,,
commit:discord-retry-fix,,,,,codifying-commit,,commit,,"Added onCancelled, refactored the unconditional release into releaseUnadopted, and added the test that pins the unbounded behavior.",,,,,,06600e2ca09f33810c096f80b1ac20f0577b48a9,,2026-08-12,
code:on-abandoned,,,src/channels/message/ingress-drain.ts,,owner-boundary,onAbandoned lifecycle callback,code,504-509,,,,,,,,,,
code:release-unadopted,,,src/channels/message/ingress-drain.ts,,release-path,releaseUnadopted,code,421-438,,,,,,,,,,
code:apply-failure-disposition,,,src/channels/message/ingress-drain.ts,,bounded-path,applyFailureDisposition,code,325-354,,,,,,,,,,
code:resolve-failure-disposition,,,src/channels/message/ingress-retry-policy.ts,,policy-owner,resolveIngressFailureDisposition (sole maxAttempts enforcement site),code,92-121,,,,,,,,,,
code:discord-retry-policy,,,extensions/discord/src/monitor/ingress.ts,,production-config,"maxAttempts=8, deadLetterMinAgeMs=0",code,552-555,,,,,,,,,,
code:codifying-test,,,src/channels/message/ingress-drain.test.ts,,conflicting-expectation,keeps retry-accounted abandonment pending beyond the failure threshold,code,676-707,Asserts listFailed() === [] after abandonments past maxAttempts. Carries no comment naming a contract or invariant reason.,,,,,,,,,
defect:silas-abandonment-budget,,,,,retry-policy-bypass,,defect,,,,,durable ingress abandonment,,,,behaviorally-characterized,,
incident:silas-loop,,,,,symptom-family,,incident,,,42,,,,silas,,,,
fossil:abandonment-retry-budget,6f4ef385ea7,RED on 6b09,src/channels/message/ingress-drain.abandonment-retry-budget.test.ts,,landed-fossil,,test,,,,1 failed | 4 passed,,,,,,,
control:below-ceiling,,,,,negative-control,keeps an abandoned claim retryable below the attempt ceiling,test,,,,GREEN on 6b09,,,,,,,
control:cancellation-budget-free,,,,,negative-control,leaves cancellation budget-free even at the attempt ceiling,test,,,,GREEN on 6b09,,,,,,,
control:unrelated-lane,,,,,negative-control,keeps an unrelated lane draining while one lane head is abandoned,test,,,,GREEN on 6b09,,,,,,,
control:thrown-failure,,,,,negative-control,still dead-letters an ordinary thrown dispatch failure on its bounded path,test,,,,GREEN on 6b09,,,,,,,
intervention:abandonment-budget,,,,,candidate,,intervention,,"Applied locally only to prove the fossil is reachable, then reverted. All five fossil tests turned GREEN; one pre-existing test (code:codifying-test) turned RED.",,,,,,,not-landed,,
