class	dropped_lines	file	detail
FROZEN-STALE	-1	.agents/skills/crabbox/SKILL.md	HEAD==upstream@d5b5eaccc2 (2026-05-27 fix(crabbox): show broker url in auth guard)
FROZEN-STALE	-1	.agents/skills/release-openclaw-maintainer/SKILL.md	HEAD==upstream@c0f2d89c20 (2026-05-25 docs: make changelog release-owned)
MIXED-CLOBBER	2	.crabbox.yaml	95c8fc9678 ci: support native Windows Crabbox daemon hydra
GENUINE	0	.gitignore	-
MIXED-CLOBBER	2	.oxlintrc.json	4f4d108639 chore(lint): remove underscore-dangle allow lis
MIXED-CLOBBER	1	AGENTS.md	df659d124d refactor(telegram): encode conversation binding
FROZEN-STALE	-1	apps/macos/Sources/OpenClaw/ExecApprovals.swift	HEAD==upstream@694ca50e97 (2026-05-13 Revert "refactor: move runtime state to SQLite")
FROZEN-STALE	-1	apps/macos/Sources/OpenClaw/ExecApprovalsGatewayPrompter.swift	HEAD==upstream@719bfb46ff (2026-03-22 style: format macos sources for ci)
FROZEN-STALE	-1	apps/macos/Sources/OpenClaw/NodeMode/MacNodeRuntime.swift	HEAD==upstream@5f89cabeb5 (2026-05-15 fix(macos): harden screen.snapshot validation and)
FROZEN-STALE	-1	apps/macos/Tests/OpenClawIPCTests/ExecApprovalPromptLayoutTests.swift	HEAD==upstream@b0b627e5a9 (2026-05-01 fix(macos): reserve exec approval dialog layout s)
GENUINE	0	apps/shared/OpenClawKit/Sources/OpenClawKit/Resources/tool-display.json	-
MIXED-CLOBBER	8	apps/shared/OpenClawKit/Sources/OpenClawProtocol/GatewayModels.swift	47c578034a fix(exec): align release validation surfaces
MIXED-CLOBBER	3	docs/automation/cron-jobs.md	f634062f35 fix(cron): quarantine malformed persisted jobs
FROZEN-STALE	-1	docs/channels/groups.md	HEAD==upstream@45fbf2d81a (2026-05-23 fix(channels): honor /verbose in group sessions ()
SAFE-NEW	0	docs/design/continue-work-signal-v2.md	-
FROZEN-STALE	-1	docs/gateway/config-channels.md	HEAD==upstream@f4b5e58231 (2026-05-23 fix: aggressively prune retired model catalogs)
MIXED-CLOBBER	2	docs/gateway/configuration-reference.md	e72621e566 fix(hooks): enforce default hook agent allowlis
FROZEN-STALE	-1	docs/install/raspberry-pi.md	HEAD==upstream@694ca50e97 (2026-05-13 Revert "refactor: move runtime state to SQLite")
MIXED-CLOBBER	6	docs/plugins/codex-harness-reference.md	80227005a0 feat(exec): add normalized auto mode
MIXED-CLOBBER	6	docs/plugins/codex-harness-runtime.md	0cfccdb0c7 fix(codex): keep WebChat delivery hints out of 
FROZEN-STALE	-1	docs/plugins/sdk-testing.md	HEAD==upstream@827b0de0ce (2026-05-10 refactor: reduce plugin sdk surface)
FROZEN-STALE	-1	docs/vps.md	HEAD==upstream@f0f1635f9f (2026-04-29 Docs: add VPS admin hardening note (#54685))
FROZEN-STALE	-1	extensions/browser/src/browser/routes/agent.existing-session.test.ts	HEAD==upstream@7afac6015f (2026-05-18 feat(browser): surface observed dialogs (#83099))
FROZEN-STALE	-1	extensions/browser/src/browser/routes/existing-session.test-support.ts	HEAD==upstream@4556707cb7 (2026-05-04 test(browser): mirror route URL guard in existing)
MIXED-CLOBBER	2	extensions/codex/src/app-server/attempt-startup.test.ts	7f7eca1ad2 fix(codex): preserve shared app-server after st
GENUINE	0	extensions/codex/src/app-server/attempt-startup.ts	-
FROZEN-STALE	-1	extensions/codex/src/app-server/auth-bridge.ts	HEAD==upstream@5ef812293b (2026-05-26 fix(codex): bridge cli api-key auth into app-serv)
MIXED-CLOBBER	7	extensions/codex/src/app-server/event-projector.test.ts	f36a1b0c81 fix(codex): preserve streamed command output (#
FROZEN-STALE	-1	extensions/codex/src/app-server/protocol-generated/json/v2/ThreadResumeResponse.json	HEAD==upstream@58083866d0 (2026-05-16 fix: sync codex app-server protocol drift)
FROZEN-STALE	-1	extensions/codex/src/app-server/protocol-generated/json/v2/ThreadStartResponse.json	HEAD==upstream@58083866d0 (2026-05-16 fix: sync codex app-server protocol drift)
FROZEN-STALE	-1	extensions/codex/src/app-server/protocol-generated/json/v2/TurnCompletedNotification.json	HEAD==upstream@330ba1fa31 (2026-05-07 refactor: move canvas to plugin surfaces)
FROZEN-STALE	-1	extensions/codex/src/app-server/protocol-generated/json/v2/TurnStartResponse.json	HEAD==upstream@330ba1fa31 (2026-05-07 refactor: move canvas to plugin surfaces)
MIXED-CLOBBER	8	extensions/codex/src/app-server/run-attempt.ts	80227005a0 feat(exec): add normalized auto mode
GENUINE	0	extensions/diagnostics-otel/api.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.ts	-
MIXED-CLOBBER	8	extensions/diagnostics-otel/src/service.test.ts	f824e1596a Add OpenTelemetry LLM content spans (#86191)
MIXED-CLOBBER	5	extensions/diagnostics-otel/src/service.ts	ef8619d5f5 fix(diagnostics): expose missing telemetry sign
FROZEN-STALE	-1	extensions/discord/src/monitor/exec-approvals.test.ts	HEAD==upstream@827b0de0ce (2026-05-10 refactor: reduce plugin sdk surface)
FROZEN-STALE	-1	extensions/discord/src/monitor/exec-approvals.ts	HEAD==upstream@6346e792c4 (2026-05-11 build: enable stricter TypeScript checks)
MIXED-CLOBBER	39	extensions/discord/src/monitor/native-command.plugin-dispatch.test.ts	b9f6abf5e8 fix: bind plugin command llm auth to host agent
FROZEN-STALE	-1	extensions/discord/src/monitor/native-command.runtime.ts	HEAD==upstream@4f4d108639 (2026-05-18 chore(lint): remove underscore-dangle allow list )
FROZEN-STALE	-1	extensions/discord/src/monitor/native-command.ts	HEAD==upstream@31a8fe7462 (2026-05-26 fix(discord): gate native built-in UI before owne)
MIXED-CLOBBER	2	extensions/discord/src/voice/manager.e2e.test.ts	acbb06e266 test: harden e2e harness isolation
FROZEN-STALE	-1	extensions/feishu/src/monitor.test-mocks.ts	HEAD==upstream@bd4237c16c (2026-03-25 fix(feishu): close WebSocket connections on monit)
GENUINE	0	extensions/matrix/src/matrix/sdk.test.ts	-
GENUINE	0	extensions/matrix/src/matrix/sdk.ts	-
MIXED-CLOBBER	4	extensions/memory-core/src/dreaming.test.ts	e72621e566 fix(hooks): enforce default hook agent allowlis
MIXED-CLOBBER	14	extensions/memory-core/src/dreaming.ts	145b57c734 perf(gateway): defer skipped-channel sidecars
