path	class	feature_ownership_proof	upstream_touch_conflict_status	current_loc_growth	recommendation
src/infra/state-migrations.ts	A	present at d9623bd46f3; net feature-side overlay +6/-4 across 4 hunks (function insertFlowRunRowSql(db: DatabaseSync, row: SqliteBindRow): void {;function normalizeLegacyFlowRow(row: Record<string, unknown>): SqliteBindRow {;function readLegacyFlowRows(sourcePath: string): SqliteBindRow[] {)	35fb5ee81ac6 touched by 2 commit(s), +19/-6442; same responsibility; newer upstream collapses host to 20 lines; virtual-merge conflict	6445 LOC; +2 vs ratchet baseline 6443	No refactor; preserve upstream topology.
src/agents/embedded-agent-runner/run/attempt.ts	A	present at d9623bd46f3; net feature-side overlay +44/-0 across 9 hunks (export async function runEmbeddedAttempt(;export {)	35fb5ee81ac6 touched by 4 commit(s), +34/-64; same named symbol(s); virtual-merge conflict	5942 LOC; +44 vs ratchet baseline 5898	No refactor; preserve upstream topology.
src/agents/embedded-agent-runner/run.ts	A	present at d9623bd46f3; net feature-side overlay +65/-0 across 7 hunks (async function runEmbeddedAgentInternal()	35fb5ee81ac6 touched by 4 commit(s), +10/-17; same named symbol(s); no conflict	5147 LOC; +65 vs ratchet baseline 5082	No refactor; preserve upstream topology.
src/auto-reply/reply/agent-runner-execution.ts	A	present at d9623bd46f3; net feature-side overlay +937/-32 across 52 hunks (async function runAgentTurnWithFallbackInternal(;export const MAX_LIVE_SWITCH_RETRIES = 2;;export type AgentRunLoopResult =)	35fb5ee81ac6 unchanged; no conflict	4324 LOC; +905 vs ratchet baseline 3419	Pending GitNexus owner-boundary decision.
src/gateway/server-methods/agent.ts	A	present at d9623bd46f3; net feature-side overlay +39/-2 across 9 hunks (export const agentHandlers: GatewayRequestHandlers = {;function dispatchAgentRunFromGateway(params: {)	35fb5ee81ac6 touched by 1 commit(s), +79/-137; same named symbol(s); no conflict	4263 LOC; +37 vs ratchet baseline 4226	No refactor; preserve upstream topology.
extensions/diagnostics-otel/src/service.ts	A	present at d9623bd46f3; net feature-side overlay +141/-10 across 21 hunks (export function createDiagnosticsOtelService(): OpenClawPluginService {;function normalizeTraceContext(value: unknown): DiagnosticTraceContext | undefin)	35fb5ee81ac6 unchanged; no conflict	4262 LOC; +131 vs ratchet baseline 4131	No refactor; preserve upstream topology.
extensions/codex/src/app-server/run-attempt.ts	A	present at d9623bd46f3; net feature-side overlay +8/-1 across 2 hunks (export async function runCodexAppServerAttempt()	35fb5ee81ac6 touched by 1 commit(s), +11/-55; same named symbol(s); no conflict	4188 LOC; +7 vs ratchet baseline 4181	No refactor; preserve upstream topology.
src/auto-reply/reply/agent-runner.ts	A	present at d9623bd46f3; net feature-side overlay +1132/-174 across 52 hunks (const RESTART_LIFECYCLE_REPLY_TEXT =;export async function runReplyAgent(params: {;function resolveAdmittedRunSessionFile(params: {)	35fb5ee81ac6 touched by 4 commit(s), +44/-99; same named symbol(s); virtual-merge conflict	3816 LOC; +958 vs ratchet baseline 2858	Pending GitNexus owner-boundary decision.
src/gateway/server-methods/sessions.ts	A	present at d9623bd46f3; net feature-side overlay +161/-0 across 9 hunks (const MODEL_SELECTION_LOCKED_CHECKPOINT_MESSAGE =;export const sessionsHandlers: GatewayRequestHandlers = {)	35fb5ee81ac6 unchanged; no conflict	3731 LOC; +161 vs ratchet baseline 3570	No refactor; preserve upstream topology.
src/agents/sessions/agent-session.ts	A	present at d9623bd46f3; net feature-side overlay +4/-0 across 1 hunks (export class AgentSession {)	35fb5ee81ac6 touched by 3 commit(s), +3/-5; same named symbol(s); no conflict	3342 LOC; +4 vs ratchet baseline 3338	No refactor; preserve upstream topology.
src/config/sessions/session-accessor.ts	A	present at d9623bd46f3; net feature-side overlay +47/-0 across 2 hunks (export async function restoreSessionFromCompactionCheckpoint(;export function resolveSessionTranscriptReadTarget()	35fb5ee81ac6 touched by 1 commit(s), +35/-56; neighboring/top-level symbols; no conflict	3310 LOC; +47 vs ratchet baseline 3263	No refactor; preserve upstream topology.
src/infra/session-cost-usage.ts	A	present at d9623bd46f3; net feature-side overlay +77/-5 across 14 hunks (async function listUsageCountedTranscriptFileStats(;async function listUsageCountedTranscriptStats(;export async function discoverAllSessions(params?: {)	35fb5ee81ac6 touched by 2 commit(s), +74/-240; same named symbol(s); no conflict	3108 LOC; +72 vs ratchet baseline 3036	No refactor; preserve upstream topology.
src/infra/heartbeat-runner.ts	A	present at d9623bd46f3; net feature-side overlay +43/-2 across 14 hunks (async function resolveHeartbeatPreflight(params: {;export async function runHeartbeatOnce(opts: {;export function startHeartbeatRunner(opts: {)	35fb5ee81ac6 unchanged; no conflict	2930 LOC; +41 vs ratchet baseline 2889	No refactor; preserve upstream topology.
src/auto-reply/reply/followup-runner.ts	A	present at d9623bd46f3; net feature-side overlay +358/-6 across 16 hunks (export function createFollowupRunner(params: {)	35fb5ee81ac6 touched by 3 commit(s), +8/-14; same named symbol(s); no conflict	2417 LOC; +352 vs ratchet baseline 2065	Pending GitNexus owner-boundary decision.
src/agents/subagent-announce.ts	A	present at d9623bd46f3; net feature-side overlay +1477/-37 across 31 hunks (const defaultSubagentAnnounceDeps: SubagentAnnounceDeps = {;export async function runSubagentAnnounceFlow(params: {;function buildAnnounceReplyInstruction(params: {)	35fb5ee81ac6 unchanged; no conflict	2102 LOC; +1440 vs ratchet baseline 662	Pending GitNexus owner-boundary decision.
src/agents/subagent-registry-lifecycle.ts	A	present at d9623bd46f3; net feature-side overlay +6/-0 across 1 hunks (export function createSubagentRegistryLifecycleController(params: {)	35fb5ee81ac6 unchanged; no conflict	2076 LOC; +6 vs ratchet baseline 2070	No refactor; preserve upstream topology.
src/agents/subagent-registry.ts	A	present at d9623bd46f3; net feature-side overlay +16/-1 across 7 hunks (async function sweepSubagentRuns() {;configureSubagentRegistrySteerRuntime({;export const testing = {)	35fb5ee81ac6 unchanged; no conflict	2066 LOC; +15 vs ratchet baseline 2051	No refactor; preserve upstream topology.
src/agents/embedded-agent-runner/compact.ts	A	present at d9623bd46f3; net feature-side overlay +11/-7 across 9 hunks (async function compactEmbeddedAgentSessionDirectOnce(;export async function compactEmbeddedAgentSessionDirect(;function hasRealConversationContent()	35fb5ee81ac6 touched by 1 commit(s), +16/-16; same named symbol(s); no conflict	2025 LOC; +4 vs ratchet baseline 2021	No refactor; preserve upstream topology.
src/agents/subagent-announce-delivery.ts	A	present at d9623bd46f3; net feature-side overlay +9/-0 across 5 hunks (async function sendSubagentAnnounceDirectly(params: {;export async function deliverSubagentAnnouncement(params: {)	35fb5ee81ac6 touched by 1 commit(s), +1/-1; neighboring/top-level symbols; no conflict	1991 LOC; +9 vs ratchet baseline 1982	No refactor; preserve upstream topology.
src/agents/subagent-spawn.ts	A	present at d9623bd46f3; net feature-side overlay +178/-11 across 25 hunks (async function callSubagentGateway(;const MAX_SUBAGENT_AGENT_GATEWAY_TIMEOUT_MS = 300_000;;export async function spawnSubagentDirect()	35fb5ee81ac6 touched by 1 commit(s), +5/-20; same spawn ownership contract; virtual-merge conflict	1926 LOC; +167 vs ratchet baseline 1759	No refactor; preserve upstream topology.
src/agents/command/attempt-execution.ts	A	present at d9623bd46f3; net feature-side overlay +559/-212 across 13 hunks (export async function persistCliTurnTranscript(params: {;export function runAgentAttempt(params: {)	35fb5ee81ac6 touched by 1 commit(s), +0/-3; same named symbol(s); virtual-merge conflict	1764 LOC; +347 vs ratchet baseline 1417	Pending GitNexus owner-boundary decision.
src/auto-reply/reply/get-reply-run.ts	A	present at d9623bd46f3; net feature-side overlay +11/-0 across 3 hunks (export async function runPreparedReply()	35fb5ee81ac6 touched by 1 commit(s), +8/-24; same named symbol(s); no conflict	1726 LOC; +11 vs ratchet baseline 1715	No refactor; preserve upstream topology.
src/state/openclaw-state-db.ts	A	present at d9623bd46f3; net feature-side overlay +1/-0 across 1 hunks (function ensureAdditiveStateColumns(db: DatabaseSync): void {)	35fb5ee81ac6 unchanged; no conflict	1698 LOC; +1 vs ratchet baseline 1697	No refactor; preserve upstream topology.
src/state/openclaw-state-schema.generated.ts	D	present at d9623bd46f3; net feature-side overlay +1/-0 across 1 hunks (CREATE TABLE IF NOT EXISTS flow_runs ()	35fb5ee81ac6 unchanged; no conflict	1669 LOC; +1 vs ratchet baseline 1668	No refactor; generated surface follows its generator/upstream replacement.
src/agents/system-prompt.ts	A	present at d9623bd46f3; net feature-side overlay +171/-0 across 4 hunks (export function buildAgentSystemPrompt(params: {)	35fb5ee81ac6 touched by 1 commit(s), +2/-0; same named symbol(s); no conflict	1613 LOC; +171 vs ratchet baseline 1442	No refactor; preserve upstream topology.
src/agents/embedded-agent-subscribe.handlers.messages.ts	A	present at d9623bd46f3; net feature-side overlay +86/-25 across 6 hunks (export function handleMessageEnd(;export function handleMessageUpdate(;function asRecord(value: unknown): Record<string, unknown> | undefined {)	35fb5ee81ac6 touched by 1 commit(s), +0/-1; neighboring/top-level symbols; no conflict	1569 LOC; +61 vs ratchet baseline 1508	No refactor; preserve upstream topology.
src/infra/diagnostic-events.ts	A	present at d9623bd46f3; net feature-side overlay +55/-0 across 5 hunks (export type DiagnosticEventPayload =;export type DiagnosticExecProcessCompletedEvent = DiagnosticBaseEvent & {;export type DiagnosticHeartbeatEvent = DiagnosticBaseEvent & {)	35fb5ee81ac6 unchanged; no conflict	1531 LOC; +55 vs ratchet baseline 1476	No refactor; preserve upstream topology.
src/logging/diagnostic.ts	A	present at d9623bd46f3; net feature-side overlay +124/-8 across 13 hunks (export function startDiagnosticHeartbeat(;function emitDiagnosticLivenessWarning(;function shouldEmitDiagnosticLivenessEvent(now: number): boolean {)	35fb5ee81ac6 unchanged; no conflict	1525 LOC; +116 vs ratchet baseline 1409	No refactor; preserve upstream topology.
packages/agent-core/src/agent-loop.ts	A	present at d9623bd46f3; net feature-side overlay +318/-0 across 9 hunks (async function runLoop(;async function streamAssistantResponse(;const EventStreamConstructor: typeof SourceEventStream = LlmEventStream;)	35fb5ee81ac6 touched by 1 commit(s), +29/-34; same named symbol(s); no conflict	1451 LOC; +318 vs ratchet baseline 1133	Pending GitNexus owner-boundary decision.
src/auto-reply/continuation/delegate-dispatch.ts	B	absent at d9623bd46f3; candidate adds +1425/-0 across 1 hunks (top-level/imports)	35fb5ee81ac6 unchanged; no conflict	1425 LOC; new path (ratchet baseline-missing)	Pending GitNexus owner-boundary decision.
src/agents/agent-hooks/compaction-safeguard.ts	A	present at d9623bd46f3; net feature-side overlay +10/-2 across 2 hunks (async function resolveModelAuth()	35fb5ee81ac6 unchanged; no conflict	1372 LOC; +8 vs ratchet baseline 1364	No refactor; preserve upstream topology.
src/auto-reply/reply/queue/drain.ts	A	present at d9623bd46f3; net feature-side overlay +2/-0 across 2 hunks (function collectRuntimeMetadata(;type FollowupRuntimeMetadata = Pick<)	35fb5ee81ac6 unchanged; no conflict	1370 LOC; +2 vs ratchet baseline 1368	No refactor; preserve upstream topology.
src/tui/embedded-backend.ts	A	present at d9623bd46f3; net feature-side overlay +5/-1 across 2 hunks (export class EmbeddedTuiBackend implements TuiBackend {)	35fb5ee81ac6 unchanged; no conflict	1335 LOC; +4 vs ratchet baseline 1331	No refactor; preserve upstream topology.
extensions/codex/src/app-server/side-question.ts	A	present at d9623bd46f3; net feature-side overlay +3/-0 across 1 hunks (async function createCodexSideToolBridge(input: {)	35fb5ee81ac6 unchanged; no conflict	1327 LOC; +3 vs ratchet baseline 1324	No refactor; preserve upstream topology.
src/auto-reply/continuation/delegate-store.ts	B	absent at d9623bd46f3; candidate adds +1319/-0 across 1 hunks (top-level/imports)	35fb5ee81ac6 unchanged; no conflict	1319 LOC; new path (ratchet baseline-missing)	Pending GitNexus owner-boundary decision.
src/auto-reply/continuation/work-dispatch.ts	B	absent at d9623bd46f3; candidate adds +1316/-0 across 1 hunks (top-level/imports)	35fb5ee81ac6 unchanged; no conflict	1316 LOC; new path (ratchet baseline-missing)	Pending GitNexus owner-boundary decision.
src/state/openclaw-state-db.generated.d.ts	D	present at d9623bd46f3; net feature-side overlay +1/-0 across 1 hunks (export interface FlowRuns {)	35fb5ee81ac6 unchanged; no conflict	1280 LOC; +1 vs ratchet baseline 1279	No refactor; generated surface follows its generator/upstream replacement.
extensions/codex/src/app-server/computer-use.ts	A	present at d9623bd46f3; net feature-side overlay +2/-1 across 2 hunks (export async function runCodexComputerUseLiveTest(params: {)	35fb5ee81ac6 touched by 1 commit(s), +3/-5; neighboring/top-level symbols; no conflict	1267 LOC; +1 vs ratchet baseline 1266	No refactor; preserve upstream topology.
src/agents/agent-tools.ts	A	present at d9623bd46f3; net feature-side overlay +22/-0 across 5 hunks (function createOpenClawCodingToolsInternal(options?: OpenClawCodingToolsOptions);type OpenClawCodingToolsOptions = {)	35fb5ee81ac6 touched by 1 commit(s), +5/-32; same named symbol(s); no conflict	1241 LOC; +22 vs ratchet baseline 1219	No refactor; preserve upstream topology.
packages/agent-core/src/harness/agent-harness.ts	A	present at d9623bd46f3; net feature-side overlay +4/-0 across 3 hunks (export class CoreAgentHarness<)	35fb5ee81ac6 touched by 2 commit(s), +18/-35; same named symbol(s); no conflict	1218 LOC; +4 vs ratchet baseline 1214	No refactor; preserve upstream topology.
src/status/status-message.ts	A	present at d9623bd46f3; net feature-side overlay +58/-0 across 5 hunks (export function buildStatusMessage(args: StatusArgs): string {;export type StatusArgs = {)	35fb5ee81ac6 touched by 1 commit(s), +1/-1; neighboring/top-level symbols; no conflict	1218 LOC; +58 vs ratchet baseline 1160	No refactor; preserve upstream topology.
src/flows/doctor-core-checks.runtime.ts	A	present at d9623bd46f3; net feature-side overlay +4/-0 across 2 hunks (function collectAgentRuntimeToolSchemaFindings(params: {)	35fb5ee81ac6 unchanged; no conflict	1177 LOC; +4 vs ratchet baseline 1173	No refactor; preserve upstream topology.
src/auto-reply/reply/get-reply.ts	A	present at d9623bd46f3; net feature-side overlay +7/-4 across 6 hunks (export async function getReplyFromConfig()	35fb5ee81ac6 touched by 1 commit(s), +3/-26; same named symbol(s); no conflict	1169 LOC; +3 vs ratchet baseline 1166	No refactor; preserve upstream topology.
src/auto-reply/reply/post-compaction-delegate-dispatch.ts	B	absent at d9623bd46f3; candidate adds +1090/-0 across 1 hunks (top-level/imports)	35fb5ee81ac6 unchanged; no conflict	1090 LOC; new path (ratchet baseline-missing)	Pending GitNexus owner-boundary decision.
src/agents/embedded-agent-runner/compact.hooks.harness.ts	A	present at d9623bd46f3; net feature-side overlay +17/-0 across 4 hunks (export async function loadCompactHooksHarness(): Promise<{;export const resolveAgentHarnessPolicyMock = vi.fn(() => ({ runtime: "openclaw";export function resetCompactSessionStateMocks(): void {)	35fb5ee81ac6 unchanged; no conflict	1082 LOC; +17 vs ratchet baseline 1065	No refactor; preserve upstream topology.
src/infra/continuation-tracer.ts	B	absent at d9623bd46f3; candidate adds +1067/-0 across 1 hunks (top-level/imports)	35fb5ee81ac6 unchanged; no conflict	1067 LOC; new path (ratchet baseline-missing)	Pending GitNexus owner-boundary decision.
src/agents/subagent-registry-run-manager.ts	A	present at d9623bd46f3; net feature-side overlay +24/-4 across 3 hunks (export function createSubagentRunManager(params: {;export type RegisterSubagentRunParams = {)	35fb5ee81ac6 unchanged; no conflict	1063 LOC; +20 vs ratchet baseline 1043	No refactor; preserve upstream topology.
extensions/codex/src/app-server/dynamic-tool-build.ts	A	present at d9623bd46f3; net feature-side overlay +3/-0 across 1 hunks (export async function buildDynamicTools(input: DynamicToolBuildParams) {)	35fb5ee81ac6 touched by 5 commit(s), +20/-84; same named symbol(s); no conflict	1003 LOC; +3 vs ratchet baseline 1000	No refactor; preserve upstream topology.
src/agents/embedded-agent-runner/run.overflow-compaction.harness.ts	A	present at d9623bd46f3; net feature-side overlay +1/-0 across 1 hunks (export async function loadRunOverflowCompactionHarness(): Promise<{)	35fb5ee81ac6 unchanged; no conflict	954 LOC; +1 vs ratchet baseline 953	No refactor; preserve upstream topology.
src/auto-reply/continuation/work-store.ts	B	absent at d9623bd46f3; candidate adds +932/-0 across 1 hunks (top-level/imports)	35fb5ee81ac6 unchanged; no conflict	932 LOC; new path (ratchet baseline-missing)	Pending GitNexus owner-boundary decision.
