id	kind	shard	test_or_phase	root_group	classification	issue	confirmation
T01	test	auto-reply-reply-commands-2	src/auto-reply/reply/commands-models.catalog-recovery.test.ts > /models browse catalog recovery > rebuilds the whole browse result after config replacement	catalog-model-name-undefined	load flake	N/A	PASS: exact product, one worker, isolated test
T02	test	extension-discord	extensions/discord/src/voice/realtime-playback-pcm.integration.test.ts > keeps PCM marks truthful across repeated partial-frame underflows	discord-pcm-abort	load flake	N/A	PASS: exact product, one worker, isolated test
T03	test	extension-codex-app-server-support	extensions/codex/src/app-server/transport.process.test.ts > Codex app-server process containment > revalidates identities while quiescing: root-resumed	codex-process-inspection-deadline	existing issue	https://github.com/openclaw/openclaw/issues/138043	PASS: exact product, one worker, isolated test
T04	test	extension-codex-app-server-support	extensions/codex/src/app-server/transport.process.test.ts > Codex app-server process containment > revalidates identities while quiescing: uninterruptible	codex-process-inspection-deadline	existing issue	https://github.com/openclaw/openclaw/issues/138043	PASS: exact product, one worker, isolated test
T05	test	extension-codex-app-server-support	extensions/codex/src/app-server/transport.process.test.ts > Codex app-server process containment > revalidates identities while quiescing: snapshot-failure	codex-process-inspection-deadline	existing issue	https://github.com/openclaw/openclaw/issues/138043	PASS: exact product, one worker, isolated test
T06	test	extension-codex-app-server-support	extensions/codex/src/app-server/transport.process.test.ts > Codex app-server process containment > revalidates identities while quiescing: traced	codex-process-inspection-deadline	existing issue	https://github.com/openclaw/openclaw/issues/138043	PASS: exact product, one worker, isolated test
T07	test	extension-telegram	extensions/telegram/src/telegram-ingress-drain-factory.test.ts > Telegram transport ingress outcome handoff > coalesces duplicate callback answers 'before middleware consumes a new-row answer'	telegram-pending-answer-undefined	load flake	N/A	PASS: exact product, one worker, isolated test
N01	non-test	core-tooling-15	docs-i18n Go module beforeAll toolchain precondition	core-tooling-go-floor	new issue	https://github.com/karmaterminal/openclaw-bootstrap/issues/1476	FAIL explained: runner Go 1.22.2 is below product floor 1.26.0
N02	non-test	static-gates	check (typecheck+lint+duplicates+guards): GatewayCronReconciliation fixture has extra complete property	gateway-cron-fixture-type	existing issue	https://github.com/openclaw/openclaw/pull/129388	FAIL explained: exact product source/type mismatch
N03	non-test	agentic-control-plane-runtime-config	pretest-build mode=runtime	tsdown-heap-floor	existing issue	https://github.com/karmaterminal/openclaw-bootstrap/issues/1472	FAIL explained: resolved 4069MB heap is below 4352MB build floor
N04	non-test	extensions	routing-terminal	hosted-batch-011-cancelled	blocked	https://github.com/karmaterminal/openclaw-bootstrap/issues/1341	No shard receipt; Actions job cancelled
N05	non-test	extension-codex-app-server-attempt-support	routing-terminal	hosted-batch-011-cancelled	blocked	https://github.com/karmaterminal/openclaw-bootstrap/issues/1341	No shard receipt; Actions job cancelled
N06	non-test	core-runtime-infra-diagnostics-state	routing-terminal	hosted-batch-011-cancelled	blocked	https://github.com/karmaterminal/openclaw-bootstrap/issues/1341	No shard receipt; Actions job cancelled
N07	non-test	core-runtime-tui-pty	routing-terminal	self-hosted-dist-no-job	blocked	https://github.com/karmaterminal/openclaw-bootstrap/issues/1341	No shard receipt and no exact Actions job record
N08	non-test	core-support-boundary	routing-terminal	self-hosted-dist-no-job	blocked	https://github.com/karmaterminal/openclaw-bootstrap/issues/1341	No shard receipt and no exact Actions job record
