class	dropped_lines	file	detail
SAFE-NEW	0	.gates-evidence/gate-0-conflict-census.txt	-
SAFE-NEW	0	.gates-evidence/gate-2.7-before-classification.tsv	-
GENUINE	0	apps/shared/OpenClawKit/Sources/OpenClawKit/Resources/tool-display.json	-
GENUINE	0	config/knip.config.ts	-
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/account-core.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/account-helpers.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/account-resolution.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/agent-harness-runtime.json	8624b9acb81 feat(gateway): recover channels and health pro
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/agent-harness.json	8624b9acb81 feat(gateway): recover channels and health pro
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/agent-media-payload.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/agent-runtime.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/agent-scope-runtime.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/allowlist-config-edit.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/approval-auth-runtime.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/approval-client-runtime.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/approval-delivery-runtime.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/approval-gateway-runtime.json	df707a96702 feat: view this machine in the Desktop panel (
MIXED-CLOBBER	1	docs/.generated/plugin-sdk-api-baseline/approval-handler-adapter-runtime.json	df707a96702 feat: view this machine in the Desktop panel (
