class	dropped_lines	file	detail
FROZEN-STALE	-1	.agents/skills/crabbox/SKILL.md	HEAD==upstream@d5b5eaccc2 (2026-05-27 fix(crabbox): show broker url in auth guard)
FROZEN-STALE	-1	.agents/skills/release-openclaw-maintainer/SKILL.md	HEAD==upstream@c0f2d89c20 (2026-05-25 docs: make changelog release-owned)
MIXED-CLOBBER	3	.crabbox.yaml	7b3104fe4c chore(crabbox): default runner billing to azure
GENUINE	0	.gitignore	-
MIXED-CLOBBER	1	.oxlintrc.json	de83e9eb87 fix: lint centralized skills subsystem
MIXED-CLOBBER	3	AGENTS.md	b1e5c9d7fa fix(agents): centralize terminal run outcome pr
FROZEN-STALE	-1	apps/macos/Sources/OpenClaw/ExecApprovals.swift	HEAD==upstream@694ca50e97 (2026-05-13 Revert "refactor: move runtime state to SQLite")
FROZEN-STALE	-1	apps/macos/Sources/OpenClaw/ExecApprovalsGatewayPrompter.swift	HEAD==upstream@719bfb46ff (2026-03-22 style: format macos sources for ci)
FROZEN-STALE	-1	apps/macos/Sources/OpenClaw/NodeMode/MacNodeRuntime.swift	HEAD==upstream@5f89cabeb5 (2026-05-15 fix(macos): harden screen.snapshot validation and)
FROZEN-STALE	-1	apps/macos/Tests/OpenClawIPCTests/ExecApprovalPromptLayoutTests.swift	HEAD==upstream@b0b627e5a9 (2026-05-01 fix(macos): reserve exec approval dialog layout s)
MIXED-CLOBBER	10	apps/shared/OpenClawKit/Sources/OpenClawKit/Resources/tool-display.json	a509c48f0e feat: add core session goals (#87469)
MIXED-CLOBBER	9	apps/shared/OpenClawKit/Sources/OpenClawProtocol/GatewayModels.swift	260e8e26fd fix(ci): repair main checks
MIXED-CLOBBER	2	docs/automation/cron-jobs.md	f634062f35 fix(cron): quarantine malformed persisted jobs
FROZEN-STALE	-1	docs/channels/groups.md	HEAD==upstream@45fbf2d81a (2026-05-23 fix(channels): honor /verbose in group sessions ()
SAFE-NEW	0	docs/design/continue-work-signal-v2.md	-
FROZEN-STALE	-1	docs/gateway/config-channels.md	HEAD==upstream@f4b5e58231 (2026-05-23 fix: aggressively prune retired model catalogs)
GENUINE	0	docs/gateway/configuration-reference.md	-
FROZEN-STALE	-1	docs/install/raspberry-pi.md	HEAD==upstream@694ca50e97 (2026-05-13 Revert "refactor: move runtime state to SQLite")
MIXED-CLOBBER	33	docs/plugins/codex-harness-reference.md	5f89fbe669 fix(codex): recover app-server completion stall
GENUINE	0	docs/plugins/codex-harness-runtime.md	-
FROZEN-STALE	-1	docs/plugins/sdk-testing.md	HEAD==upstream@827b0de0ce (2026-05-10 refactor: reduce plugin sdk surface)
FROZEN-STALE	-1	docs/vps.md	HEAD==upstream@f0f1635f9f (2026-04-29 Docs: add VPS admin hardening note (#54685))
FROZEN-STALE	-1	extensions/browser/src/browser/routes/agent.existing-session.test.ts	HEAD==upstream@7afac6015f (2026-05-18 feat(browser): surface observed dialogs (#83099))
FROZEN-STALE	-1	extensions/browser/src/browser/routes/existing-session.test-support.ts	HEAD==upstream@4556707cb7 (2026-05-04 test(browser): mirror route URL guard in existing)
GENUINE	0	extensions/codex/src/app-server/attempt-startup.test.ts	-
GENUINE	0	extensions/codex/src/app-server/attempt-startup.ts	-
FROZEN-STALE	-1	extensions/codex/src/app-server/auth-bridge.ts	HEAD==upstream@5ef812293b (2026-05-26 fix(codex): bridge cli api-key auth into app-serv)
MIXED-CLOBBER	42	extensions/codex/src/app-server/event-projector.test.ts	f870beac85 fix(codex): project raw image generation media 
FROZEN-STALE	-1	extensions/codex/src/app-server/protocol-generated/json/v2/ThreadResumeResponse.json	HEAD==upstream@58083866d0 (2026-05-16 fix: sync codex app-server protocol drift)
FROZEN-STALE	-1	extensions/codex/src/app-server/protocol-generated/json/v2/ThreadStartResponse.json	HEAD==upstream@58083866d0 (2026-05-16 fix: sync codex app-server protocol drift)
FROZEN-STALE	-1	extensions/codex/src/app-server/protocol-generated/json/v2/TurnCompletedNotification.json	HEAD==upstream@330ba1fa31 (2026-05-07 refactor: move canvas to plugin surfaces)
FROZEN-STALE	-1	extensions/codex/src/app-server/protocol-generated/json/v2/TurnStartResponse.json	HEAD==upstream@330ba1fa31 (2026-05-07 refactor: move canvas to plugin surfaces)
MIXED-CLOBBER	129	extensions/codex/src/app-server/run-attempt.ts	5f89fbe669 fix(codex): recover app-server completion stall
GENUINE	0	extensions/diagnostics-otel/api.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service.test.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service.ts	-
FROZEN-STALE	-1	extensions/discord/src/monitor/exec-approvals.test.ts	HEAD==upstream@827b0de0ce (2026-05-10 refactor: reduce plugin sdk surface)
FROZEN-STALE	-1	extensions/discord/src/monitor/exec-approvals.ts	HEAD==upstream@6346e792c4 (2026-05-11 build: enable stricter TypeScript checks)
GENUINE	0	extensions/discord/src/monitor/native-command.plugin-dispatch.test.ts	-
FROZEN-STALE	-1	extensions/discord/src/monitor/native-command.runtime.ts	HEAD==upstream@4f4d108639 (2026-05-18 chore(lint): remove underscore-dangle allow list )
FROZEN-STALE	-1	extensions/discord/src/monitor/native-command.ts	HEAD==upstream@31a8fe7462 (2026-05-26 fix(discord): gate native built-in UI before owne)
GENUINE	0	extensions/discord/src/voice/manager.e2e.test.ts	-
FROZEN-STALE	-1	extensions/feishu/src/monitor.test-mocks.ts	HEAD==upstream@bd4237c16c (2026-03-25 fix(feishu): close WebSocket connections on monit)
GENUINE	0	extensions/matrix/src/matrix/sdk.test.ts	-
GENUINE	0	extensions/matrix/src/matrix/sdk.ts	-
GENUINE	0	extensions/memory-core/src/dreaming.test.ts	-
GENUINE	0	extensions/memory-core/src/dreaming.ts	-
GENUINE	0	extensions/msteams/src/monitor-handler.feedback-authz.test.ts	-
GENUINE	0	extensions/msteams/src/monitor-handler.file-consent.test.ts	-
GENUINE	0	extensions/qa-matrix/src/runners/contract/scenario-catalog.ts	-
GENUINE	0	extensions/qa-matrix/src/runners/contract/scenarios.test.ts	-
MIXED-CLOBBER	3	extensions/telegram/src/bot-handlers.runtime.ts	f6d293a1ee fix(telegram): reject unsafe callback pages
FROZEN-STALE	-1	extensions/telegram/src/bot-message-context.acp-bindings.test.ts	HEAD==upstream@242e2474a6 (2026-05-11 test: tighten telegram extension assertions)
