path	accepted_source_intent	current_upstream_test_intent	candidate_disposition	preservation	focused_proof
src/agents/embedded-agent-runner/run/attempt-stream-prepare.test.ts	Retain all subscriptionToolTrust fixtures.	Exercise the implementation-start callback contract.	Keep all three accepted trust fixtures and the upstream execute callback; their setup and assertion hunks are disjoint.	full	agents-embedded-agent-run owner passed 11/11
src/agents/subagents/registry/subagent-registry-restart-recovery.test.ts	Retain durable run remap, persistence diagnostics, and wedge terminalization.	Recover bounded user direction from structured transcripts while ignoring reasoning.	Keep upstream mock removals/table coverage and accepted durability blocks in their separate regions.	full	agents-core-isolated owner passed 36/36
src/agents/subagents/registry/subagent-registry.lifecycle-retry-grace.e2e.test.ts	Retain deterministic listener/runtime facade/SQLite fixture and fake-timer ordering.	Exercise visible child requesterTurnRunId and exactly-once yielded requester-final delivery.	Keep every accepted and upstream scenario; fold only redundant request subtypes into the one local request shape to stay below the existing line ceiling.	full	agents lifecycle E2E owner passed 14/14
src/agents/subagents/spawn/subagent-spawn.in-process-gateway.test.ts	Prove a synthetic collector client cannot authorize model override.	Carry live receiptAuthority in worker identity.	Keep upstream receiptAuthority and accepted synthetic-client assertions in disjoint blocks.	full	agents-core owner passed 15/15
src/agents/tools/sessions-spawn-tool.test.ts	Retain the submitted ACP attachment filename.	Forward visible spawn requester-turn identity.	Keep upstream requester identity setup/assertion and accepted ACP filename assertion.	full	agents-tools owner passed 110/110
src/cron/isolated-agent/delivery-dispatch.double-announce.test.ts	Mock the canonical raw system-event boundary.	Cover concurrent receipt adoption, hard failure, partial delivery, best-effort partial delivery, and first-result route commit.	Keep every upstream route test byte; adapt only the import/mock spelling to enqueueSystemEventRaw as enqueueSystemEvent, matching merged production ownership.	full	cron owner passed 139/139
src/gateway/server-methods/server-methods.test.ts	Project continuation validation-loop errors as bounded generic failures without raw arguments.	Mark display-cap truncation structurally and restore the context-engine registry snapshot after health tests.	Keep accepted safe-failure cases and upstream truncation metadata plus registry capture/restore in disjoint blocks.	full	gateway-methods canonical owner passed 214/214; umbrella isolated duplicate is preserved as controlled routing debt
src/gateway/server.chat.gateway-server-chat-b.test.ts	Terminalize validation-loop failures as safe aborts and avoid rebroadcasting lifecycle-owned errors.	Require bounded history rows to carry display-cap metadata while full rows remain unmarked.	Keep both accepted lifecycle cases and every upstream metadata assertion in separate test blocks.	full	gateway-server owner passed 115/115
src/infra/heartbeat-runner.returns-default-unset.test.ts	Preserve the raw system-event export and untrusted continuation routing boundary.	Prove configured agents still run for exec events when recurring cadence is disabled.	Alias enqueueSystemEventRaw, retain the untrusted-continuation fallback case, and preserve the upstream disabled-cadence case verbatim.	full	infra owner passed with targeted wake, 64/64 combined
src/infra/heartbeat-runner.targeted-unscheduled-wake.test.ts	Retain accepted continuation-targeted wake cases.	Add the configured-agent exec-event disabled-cadence case.	Keep all accepted cases and the upstream configured-agent case; no assertion is removed.	full	infra owner passed with returns-default-unset, 64/64 combined
src/infra/heartbeat-wake.transcript-context.test.ts	Use the accepted raw heartbeat boundary.	Prove wake scheduling occurs outside owned transcript writes.	Keep the upstream test body and adapt only its import to requestHeartbeatRaw as requestHeartbeat so it exercises the merged canonical boundary.	full	unit-fast owner passed 1/1
src/state/openclaw-state-db.test.ts	Keep delegate-artifact tables/indexes lazy and compose additive repairs after legacy approval migration.	Prove one cached ownership read per transaction and one admission-time discovery for injected handles.	Keep source schema-laziness/repair cases and upstream ownership-read cases in separate blocks; no schema version changes.	full	unit-src owner passed 159/159
ui/src/e2e/session-management.groups.e2e.test.ts	Keep hover-revealed controls visually hidden and pointer-inert until hover.	Open the Filters popover before selecting a rejected-group category.	Keep upstream Filters interaction and accepted opacity plus pointer-events assertions in separate scenarios.	full	ui-e2e owner passed 11/11
ui/src/pages/sessions/view.browser.test.ts	Use the canonical shared ChromiumTestContext lifecycle.	Replace overview tiles with bounded heading facts and verify text plus viewport visibility.	Use the accepted shared browser context while retaining upstream heading-fact fixture/layout/assertions exactly.	full	ui owner passed with cursor policy, 7/7 combined
ui/src/styles/cursor-policy.browser.test.ts	Serve the cursor fixture over loopback HTTP for supported standalone-app mode.	Add sidebar-update-card.css to the CSS corpus governed by semantic cursor policy.	Keep the accepted HTTP fixture setup/cleanup and all upstream CSS corpus entries, including the new sidebar update-card stylesheet.	full	ui owner passed with sessions view, 7/7 combined
src/gateway/server-cron.test.ts	Expose the accepted requestHeartbeatRaw boundary from the cron test mock.	Prove scheduled command/script delivery retries only a proven pre-dispatch failure and never duplicates a partial, ambiguous, permanent, or cancelled delivery.	Keep the accepted one-line raw heartbeat mock export and every upstream retry-safety test; the mock hunk and added scenario block are disjoint.	full	gateway-server canonical owner passed server-cron plus chat-b at exact candidate
