class	dropped_lines	file	detail
MIXED-CLOBBER	5	.crabbox.yaml	d9820e4098 fix(ci): disable crabbox on-demand fallback
GENUINE	0	.gitignore	-
GENUINE	0	.oxlintrc.json	-
MIXED-CLOBBER	1	AGENTS.md	6f20f29688 fix(discord): carry reply typing feedback throu
GENUINE	0	apps/shared/OpenClawKit/Sources/OpenClawKit/Resources/tool-display.json	-
GENUINE	0	apps/shared/OpenClawKit/Sources/OpenClawProtocol/GatewayModels.swift	-
GENUINE	0	docs/automation/cron-jobs.md	-
SAFE-NEW	0	docs/design/continue-work-signal-v2.md	-
MIXED-CLOBBER	4	docs/gateway/configuration-reference.md	f93a558892 fix(plugins): ignore helper files in extension 
MIXED-CLOBBER	11	docs/plugins/codex-harness-reference.md	3fbd2432b6 fix(codex): move stable context to developer in
MIXED-CLOBBER	4	docs/plugins/codex-harness-runtime.md	3fbd2432b6 fix(codex): move stable context to developer in
GENUINE	0	extensions/browser/src/browser/routes/existing-session.test-support.ts	-
GENUINE	0	extensions/codex/src/app-server/attempt-startup.test.ts	-
GENUINE	0	extensions/codex/src/app-server/attempt-startup.ts	-
GENUINE	0	extensions/codex/src/app-server/event-projector.test.ts	-
MIXED-CLOBBER	24	extensions/codex/src/app-server/run-attempt.ts	530351e394 fix(codex): stop injecting mirrored history int
GENUINE	0	extensions/copilot/src/compaction-bridge.ts	-
GENUINE	0	extensions/diagnostics-otel/api.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service.test.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service.ts	-
GENUINE	0	extensions/discord/src/monitor/native-command.plugin-dispatch.test.ts	-
GENUINE	0	extensions/discord/src/monitor/native-command.ts	-
GENUINE	0	extensions/discord/src/voice/manager.e2e.test.ts	-
GENUINE	0	extensions/matrix/src/matrix/sdk.test.ts	-
GENUINE	0	extensions/matrix/src/matrix/sdk.ts	-
GENUINE	0	extensions/memory-core/src/dreaming.test.ts	-
GENUINE	0	extensions/memory-core/src/dreaming.ts	-
GENUINE	0	extensions/msteams/src/monitor-handler.feedback-authz.test.ts	-
GENUINE	0	extensions/msteams/src/monitor-handler.file-consent.test.ts	-
GENUINE	0	extensions/qa-matrix/src/runners/contract/scenario-catalog.ts	-
GENUINE	0	extensions/qa-matrix/src/runners/contract/scenarios.test.ts	-
GENUINE	0	extensions/telegram/src/bot-handlers.runtime.ts	-
MIXED-CLOBBER	18	extensions/zalo/src/outbound-media.ts	f91ddefbfb fix(zalo): bound hosted media expiry clocks
MIXED-CLOBBER	4	npm-shrinkwrap.json	c635e560d0 build: update rastermill to 0.3.1
MIXED-CLOBBER	4	package.json	b13529767b refactor: share inline image data URL sanitizer
SAFE-NEW	0	packages/gateway-protocol/src/schema/agent.schema.test.ts	-
GENUINE	0	packages/gateway-protocol/src/schema/agent.ts	-
GENUINE	0	packages/memory-host-sdk/src/host/session-files.ts	-
MIXED-CLOBBER	10	pnpm-lock.yaml	38a463fe93 fix(deps): remove sharp from root package
MIXED-CLOBBER	20	scripts/e2e/parallels/npm-update-smoke.ts	53e8dc6a54 fix(scripts): stop parsing after option termina
MIXED-CLOBBER	46	scripts/e2e/telegram-user-crabbox-proof.ts	e449392c4f fix(e2e): route telegram proof through pnpm run
MIXED-CLOBBER	1	scripts/lib/plugin-sdk-doc-metadata.ts	b13529767b refactor: share inline image data URL sanitizer
GENUINE	0	scripts/protocol-gen-swift.ts	-
GENUINE	0	scripts/protocol-gen.ts	-
SAFE-NEW	0	scripts/protocol-public-schema.ts	-
GENUINE	0	scripts/release-check.ts	-
MIXED-CLOBBER	145	scripts/test-projects.test-support.mjs	31f0635f4fd fix(test): route explicit source targets narro
GENUINE	0	src/acp/control-plane/manager.core.ts	-
GENUINE	0	src/acp/control-plane/manager.test.ts	-
SAFE-NEW	0	src/agents/agent-command.test.ts	-
MIXED-CLOBBER	119	src/agents/agent-command.ts	4decdf6245 [Fix] Deliver restart recovery replies (#86089)
GENUINE	0	src/agents/agent-hooks/compaction-safeguard.ts	-
GENUINE	0	src/agents/agent-tools-agent-config.test.ts	-
MIXED-CLOBBER	12	src/agents/agent-tools.before-tool-call.e2e.test.ts	cc42367f3f fix(agents): cap plugin approval timeouts
MIXED-CLOBBER	19	src/agents/agent-tools.before-tool-call.ts	cc42367f3f fix(agents): cap plugin approval timeouts
MIXED-CLOBBER	1	src/agents/agent-tools.policy.ts	8eeaa45729 refactor: route model catalog imports to core p
GENUINE	0	src/agents/agent-tools.read.ts	-
GENUINE	0	src/agents/agent-tools.ts	-
GENUINE	0	src/agents/agent-tools.workspace-paths.test.ts	-
GENUINE	0	src/agents/apply-patch.test.ts	-
MIXED-CLOBBER	11	src/agents/auth-profile-runtime-contract.test.ts	d92b3b5cc2 refactor: unify OpenAI provider identity
GENUINE	0	src/agents/auth-profiles.resolve-auth-profile-order.does-not-prioritize-lastgood-round-robin-ordering.test.ts	-
GENUINE	0	src/agents/auth-profiles/session-override.ts	-
GENUINE	0	src/agents/cli-runner/helpers.ts	-
MIXED-CLOBBER	9	src/agents/cli-runner/prepare.ts	a176b8ec2f perf(cli): compact resumed room-event prompts
MIXED-CLOBBER	4	src/agents/command/attempt-execution.cli.test.ts	d92b3b5cc2 refactor: unify OpenAI provider identity
GENUINE	0	src/agents/command/attempt-execution.helpers.ts	-
MIXED-CLOBBER	3	src/agents/command/attempt-execution.ts	d92b3b5cc2 refactor: unify OpenAI provider identity
GENUINE	0	src/agents/command/types.ts	-
SAFE-NEW	0	src/agents/compaction-attribution.test.ts	-
SAFE-NEW	0	src/agents/compaction-attribution.ts	-
GENUINE	0	src/agents/embedded-agent-runner.e2e.test.ts	-
GENUINE	0	src/agents/embedded-agent-runner/compact-reasons.test.ts	-
MIXED-CLOBBER	1	src/agents/embedded-agent-runner/compact-reasons.ts	de1dfab03e refactor: move terminal core into package (#882
GENUINE	0	src/agents/embedded-agent-runner/compact.hooks.harness.ts	-
GENUINE	0	src/agents/embedded-agent-runner/compact.ts	-
GENUINE	0	src/agents/embedded-agent-runner/compact.types.ts	-
GENUINE	0	src/agents/embedded-agent-runner/context-engine-capabilities.ts	-
GENUINE	0	src/agents/embedded-agent-runner/context-engine-maintenance.ts	-
MIXED-CLOBBER	83	src/agents/embedded-agent-runner/model.ts	d92b3b5cc2 refactor: unify OpenAI provider identity
GENUINE	0	src/agents/embedded-agent-runner/run-state.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run.overflow-compaction.harness.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run.overflow-compaction.loop.test.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run.timeout-triggered-compaction.test.ts	-
MIXED-CLOBBER	7	src/agents/embedded-agent-runner/run.ts	d92b3b5cc2 refactor: unify OpenAI provider identity
GENUINE	0	src/agents/embedded-agent-runner/run/assistant-failover.test.ts	-
MIXED-CLOBBER	1	src/agents/embedded-agent-runner/run/assistant-failover.ts	de1dfab03e refactor: move terminal core into package (#882
GENUINE	0	src/agents/embedded-agent-runner/run/attempt-tool-construction-plan.test.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/attempt-tool-construction-plan.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/attempt.prompt-helpers.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/attempt.session-lock.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/attempt.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/failover-policy.test.ts	-
