file	gate-class	candidate-classification	remediation	source-ref	feature-overlay-keywords	notes
.agents/skills/crabbox/SKILL.md	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
.agents/skills/release-openclaw-maintainer/SKILL.md	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
apps/macos/Sources/OpenClaw/ExecApprovals.swift	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
apps/macos/Sources/OpenClaw/ExecApprovalsGatewayPrompter.swift	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
apps/macos/Sources/OpenClaw/NodeMode/MacNodeRuntime.swift	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
apps/macos/Tests/OpenClawIPCTests/ExecApprovalPromptLayoutTests.swift	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
docs/channels/groups.md	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
docs/gateway/config-channels.md	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
docs/install/raspberry-pi.md	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
docs/plugins/sdk-testing.md	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
docs/vps.md	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/browser/src/browser/routes/agent.existing-session.test.ts	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/browser/src/browser/routes/existing-session.test-support.ts	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/codex/src/app-server/auth-bridge.ts	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/codex/src/app-server/protocol-generated/json/v2/ThreadResumeResponse.json	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/codex/src/app-server/protocol-generated/json/v2/ThreadStartResponse.json	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/codex/src/app-server/protocol-generated/json/v2/TurnCompletedNotification.json	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/codex/src/app-server/protocol-generated/json/v2/TurnStartResponse.json	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/discord/src/monitor/exec-approvals.test.ts	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/discord/src/monitor/exec-approvals.ts	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
extensions/discord/src/monitor/native-command.runtime.ts	FROZEN-STALE	CANDIDATE-UPSTREAM-EVOLUTION-MISS	mechanical-restore	upstream/main	-	Layer B byte-identity; restoration cannot lose feature content (provably none)
