path	frozen_audit_class	loc_reason	base_loc	candidate_loc	delta	current_upstream_status	disposition	rationale_and_evidence
src/agents/embedded-agent-runner/run.ts	A	grew	4413	4472	59	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared orchestration host; the frozen ten-gate audit found no bounded owner for the complete +59 overlay.
src/auto-reply/reply/agent-runner-execution.ts	A	grew	3434	4339	905	cae29a0: host restored to 3434; only a 120-line partial move qualifies	policy-induced shared-surface blocker	Moving the three compaction-release helpers is topology-safe but leaves approximately 4219 lines and +785 versus the exact base, so it cannot clear this violation.
src/gateway/server-methods/sessions.ts	A	grew	3985	4146	161	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared Gateway session orchestration; no exact same-file reduction or existing destination clears all +161 lines.
extensions/codex/src/app-server/run-attempt.ts	A	grew	3731	3738	7	cae29a0: 81-line facade after 323a9fbe29b; behavior already in attempt-startup.ts	already solved upstream	The +7 fast-mode computer-use approval-policy behavior is already owned by the upstream startup phase; no growth of the facade or 713-line destination is required.
src/auto-reply/reply/agent-runner.ts	A	grew	2803	3712	909	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Frozen audit proved continuation ordering is interleaved with upstream fallback, delivery, persistence, and cleanup; size alone cannot justify a fork-only runner split.
extensions/diagnostics-otel/src/service.ts	A	grew	3551	3682	131	cae29a0: 337-line host after 6454b07b170 with trace/event modules below 500	already solved upstream	Existing service-trace-context.ts, service-traces.ts, service-events.ts, the slim host, and the <=500 continuation adapter provide destinations for the complete overlay without recreating the monolith.
src/gateway/server-methods/agent.ts	A	grew	3485	3518	33	cae29a0: 11-line facade after d1fff1afc6a with four bounded owner modules	already solved upstream	Request fields, persistence clearing, and run handoff map to agent-request-types.ts, agent-session-persist.ts, agent-session-prepare.ts, and agent-run-execution-phase.ts; the 500-line handler need not grow.
src/agents/sessions/agent-session.ts	A	grew	3336	3340	4	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	No exact removable/replaced bytes or current-upstream destination was proven for the complete +4 overlay.
src/config/sessions/session-accessor.ts	A	grew	3242	3289	47	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared session-access owner; no complete bounded extraction passed the frozen ten gates.
src/infra/heartbeat-runner.ts	A	grew	2889	2930	41	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared heartbeat orchestration; no complete existing destination or exact same-file reduction was proven.
src/infra/session-cost-usage.ts	A	grew	2754	2826	72	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared accounting owner; the complete +72 overlay has no verified topology-safe destination.
src/agents/embedded-agent-runner/run/attempt.ts	A	grew	2529	2553	24	cae29a0: 1854-line host after the five named phase extractions	safe net-zero reduction	Omit 21 obsolete re-export lines; carry three subscription trust sets as one phase-owned object so the host shrinks by two lines; replace the catalog boolean with the prepared catalog object at equal line count.
src/auto-reply/reply/followup-runner.ts	A	grew	2076	2428	352	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Frozen audit found the overlay coupled to fallback, replay safety, delivery, queue ordering, and persistence locals; no bounded extraction clears +352.
src/agents/subagent-announce.ts	A	grew	662	2102	1440	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Completion, routing, queue drain, wake policy, and terminalization share one cycle-sensitive owner; another fork-only split fails the frozen topology gates.
src/agents/subagent-registry-lifecycle.ts	A	grew	2070	2076	6	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	No exact removable bytes or upstream destination clears the full +6 overlay.
src/agents/subagent-registry.ts	A	grew	2051	2066	15	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared registry owner; no complete bounded extraction passed the frozen gates.
